arquivo,mi,rank_mi
beets/library/models.py,6.1095,C
beets/dbcore/db.py,12.5204,B
beets/importer/tasks.py,13.123,B
beets/dbcore/query.py,24.2219,A
beets/util/__init__.py,26.3283,A
beets/ui/__init__.py,28.1554,A
beets/test/helper.py,29.8999,A
beets/util/artresizer.py,33.1523,A
beets/autotag/distance.py,34.2339,A
beets/ui/commands/import_/session.py,36.6952,A
beets/util/bluelet.py,37.271,A
beets/autotag/hooks.py,40.2755,A
beets/plugins.py,41.9989,A
beets/util/functemplate.py,42.1397,A
beets/library/migrations.py,42.9184,A
beets/ui/commands/import_/display.py,43.5764,A
beets/autotag/match.py,44.0104,A
beets/dbcore/types.py,47.4996,A
beets/util/layout.py,48.4934,A
beets/util/pipeline.py,49.5505,A
beets/dbcore/pathutils.py,51.8422,A
beets/ui/commands/import_/__init__.py,52.6719,A
beets/__main__.py,53.3702,A
beets/importer/session.py,53.6799,A
beets/util/lyrics.py,55.9155,A
beets/ui/commands/update.py,56.8561,A
beets/importer/stages.py,56.8681,A
beets/metadata_plugins.py,57.958,A
beets/dbcore/sort.py,58.3828,A
beets/ui/commands/move.py,58.9333,A
beets/ui/commands/stats.py,59.6091,A
beets/ui/commands/modify.py,62.5316,A
beets/library/library.py,63.4922,A
beets/dbcore/queryparse.py,63.9537,A
beets/util/color.py,64.313,A
beets/util/extension.py,64.5648,A
beets/util/diff.py,65.8319,A
beets/test/_common.py,69.3904,A
beets/ui/commands/config.py,70.6218,A
beets/ui/commands/completion.py,70.9463,A
beets/util/config.py,71.016,A
beets/importer/state.py,71.4757,A
beets/ui/commands/help.py,71.5645,A
beets/logging.py,72.0235,A
beets/library/__init__.py,74.3083,A
beets/ui/commands/remove.py,74.9922,A
beets/util/units.py,75.0117,A
beets/util/deprecation.py,76.2804,A
beets/util/hidden.py,77.9247,A
beets/util/m3u.py,78.8696,A
beets/mediafile.py,79.583,A
beets/ui/commands/write.py,82.2695,A
beets/ui/commands/utils.py,87.573,A
beets/ui/commands/list.py,92.3933,A
beets/autotag/__init__.py,98.0557,A
beets/context.py,100.0,A
beets/exceptions.py,100.0,A
beets/__init__.py,100.0,A
beets/dbcore/__init__.py,100.0,A
beets/importer/__init__.py,100.0,A
beets/library/exceptions.py,100.0,A
beets/library/fields.py,100.0,A
beets/library/queries.py,100.0,A
beets/test/__init__.py,100.0,A
beets/ui/commands/fields.py,100.0,A
beets/ui/commands/version.py,100.0,A
beets/ui/commands/__init__.py,100.0,A
beets/util/id_extractors.py,100.0,A
beets/util/pathformats.py,100.0,A
