arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
beets/context.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/dbcore/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/importer/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/library/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/library/fields.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/library/queries.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/test/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/ui/commands/fields.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/ui/commands/version.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/ui/commands/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/id_extractors.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/pathformats.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
beets/ui/commands/help.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/mediafile.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/__main__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/__init__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/library/__init__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/ui/commands/list.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/deprecation.py,arquivo,,1,8,4,8,9,12,24.0,38.0391,0.5,19.0196,1.0566,0.0127
beets/test/_common.py,arquivo,,2,3,3,5,5,8,6.7549,18.5754,1.6667,30.959,1.7199,0.0062
beets/ui/commands/write.py,arquivo,,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
beets/ui/commands/remove.py,arquivo,,2,6,5,8,8,13,17.5098,39.0,1.3333,52.0,2.8889,0.013
beets/util/m3u.py,arquivo,,3,7,5,8,10,13,24.4064,43.1851,1.7143,74.0315,4.1129,0.0144
beets/logging.py,arquivo,,2,13,7,14,15,21,50.1057,82.0447,1.0769,88.3558,4.9087,0.0273
beets/ui/commands/utils.py,arquivo,,3,7,6,9,10,15,24.4064,49.8289,1.9286,96.0986,5.3388,0.0166
beets/ui/commands/completion.py,arquivo,,4,9,5,9,13,14,36.5293,51.8062,2.0,103.6123,5.7562,0.0173
beets/ui/commands/stats.py,arquivo,,3,12,7,14,15,21,47.7744,82.0447,1.75,143.5782,7.9766,0.0273
beets/util/hidden.py,arquivo,,4,10,6,12,14,18,41.2193,68.5324,2.4,164.4777,9.1377,0.0228
beets/dbcore/pathutils.py,arquivo,,4,13,8,13,17,21,56.1057,85.8367,2.0,171.6734,9.5374,0.0286
beets/ui/commands/config.py,arquivo,,5,11,7,11,16,18,49.6634,72.0,2.5,180.0,10.0,0.024
beets/library/library.py,arquivo,,4,14,8,14,18,22,61.303,91.7384,2.0,183.4767,10.1932,0.0306
beets/metadata_plugins.py,arquivo,,6,14,9,17,20,26,68.8127,112.3701,3.6429,409.3483,22.7416,0.0375
beets/importer/state.py,arquivo,,7,17,9,17,24,26,89.1384,119.209,3.5,417.2316,23.1795,0.0397
beets/ui/commands/modify.py,arquivo,,5,21,15,26,26,41,103.8483,192.718,3.0952,596.5082,33.1393,0.0642
beets/util/config.py,arquivo,,4,21,15,30,25,45,100.2387,208.9735,2.8571,597.0672,33.1704,0.0697
beets/util/extension.py,arquivo,,6,19,13,24,25,37,96.2204,171.8227,3.7895,651.1175,36.1732,0.0573
beets/dbcore/sort.py,arquivo,,5,29,17,33,34,50,152.4911,254.3731,2.8448,723.6477,40.2027,0.0848
beets/importer/stages.py,arquivo,,6,23,15,28,29,43,119.5517,208.8932,3.6522,762.9142,42.3841,0.0696
beets/ui/commands/import_/__init__.py,arquivo,,8,26,17,27,34,44,146.2114,223.8484,4.1538,929.8317,51.6573,0.0746
beets/dbcore/queryparse.py,arquivo,,8,23,16,27,31,43,128.0419,213.0304,4.6957,1000.3169,55.5732,0.071
beets/library/migrations.py,arquivo,,9,22,15,26,31,41,126.6368,203.122,5.3182,1080.24,60.0133,0.0677
beets/util/units.py,arquivo,,9,16,13,24,25,37,92.5293,171.8227,6.75,1159.8031,64.4335,0.0573
beets/util/color.py,arquivo,,7,19,15,30,26,45,100.3621,211.5198,5.5263,1168.9251,64.9403,0.0705
beets/ui/commands/move.py,arquivo,,9,29,17,32,38,49,169.4108,257.1484,4.9655,1276.8751,70.9375,0.0857
beets/util/lyrics.py,arquivo,,9,28,20,35,37,55,163.1353,286.5199,5.625,1611.6746,89.5375,0.0955
beets/dbcore/types.py,arquivo,,6,16,19,36,22,55,79.5098,245.2687,6.75,1655.564,91.9758,0.0818
beets/util/diff.py,arquivo,,11,33,18,37,44,55,204.5188,300.2687,6.1667,1851.6572,102.8698,0.1001
beets/util/bluelet.py,arquivo,,8,39,25,46,47,71,230.1307,394.3758,4.7179,1860.6448,103.3692,0.1315
beets/util/pipeline.py,arquivo,,9,23,21,35,32,56,132.5713,280.0,6.8478,1917.3913,106.5217,0.0933
