arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
beets/context.py,funcao,get_music_dir,0,0,0,0,0,0,0,0,0,0,0,0
beets/context.py,funcao,set_music_dir,0,0,0,0,0,0,0,0,0,0,0,0
beets/context.py,funcao,music_dir,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,_logsafe,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,_log,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,level,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,set_global_level,0,0,0,0,0,0,0,0,0,0,0,0
beets/logging.py,funcao,extra_debug,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/logging.py,funcao,getLogger,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,find_metadata_source_plugins,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,get_metadata_source,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/metadata_plugins.py,funcao,maybe_handle_plugin_error,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,_yield_from_plugins,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,candidates,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,item_candidates,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,albums_for_ids,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,tracks_for_ids,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,album_for_id,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,track_for_id,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,get_penalty,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
beets/metadata_plugins.py,funcao,data_source,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,data_source_mismatch_penalty,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,_extract_id,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,get_artist,5,11,7,13,16,20,49.6634,80.0,2.9545,236.3636,13.1313,0.0267
beets/metadata_plugins.py,funcao,get_search_query_with_filters,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,get_search_response,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,_search_api,0,0,0,0,0,0,0,0,0,0,0,0
beets/metadata_plugins.py,funcao,_get_candidates,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,__init__,3,4,3,4,7,7,12.7549,19.6515,1.5,29.4772,1.6376,0.0066
beets/plugins.py,funcao,filter,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,__init_subclass__,4,19,11,20,23,31,88.7106,140.2304,2.1053,295.2219,16.4012,0.0467
beets/plugins.py,funcao,_verify_config,4,8,5,9,12,14,32.0,50.1895,2.25,112.9263,6.2737,0.0167
beets/plugins.py,funcao,commands,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,_set_stage_log_level,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,get_early_import_stages,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,get_import_stages,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,_set_log_level_and_params,5,10,5,10,15,15,44.8289,58.6034,2.5,146.5084,8.1394,0.0195
beets/plugins.py,funcao,queries,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,add_media_field,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,register_listener,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,template_func,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,template_field,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,get_plugin_names,3,9,5,10,12,15,33.2842,53.7744,1.6667,89.6241,4.9791,0.0179
beets/plugins.py,funcao,_get_plugin,5,12,5,12,17,17,54.6292,69.4869,2.5,173.7172,9.651,0.0232
beets/plugins.py,funcao,load_plugins,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
